15:06:52.485 [http-nio-8080-exec-9] INFO  c.c.C.service.PostService - Fetching posts for university ID: 6766899ca4dc57074f3854f1 
15:06:52.546 [http-nio-8080-exec-3] INFO  c.c.C.service.PostService - Fetching posts for university ID: 6766899ca4dc57074f3854f1 
15:07:02.443 [http-nio-8080-exec-4] INFO  c.c.C.service.PostService - Fetching posts for university ID: 6766899ca4dc57074f3854f1 
15:07:02.513 [http-nio-8080-exec-7] INFO  c.c.C.service.PostService - Fetching posts for university ID: 6766899ca4dc57074f3854f1 
15:07:10.437 [http-nio-8080-exec-6] INFO  c.c.C.service.PostService - Fetching posts for university ID: 6766899ca4dc57074f3854f1 
15:07:10.501 [http-nio-8080-exec-2] INFO  c.c.C.service.PostService - Fetching posts for university ID: 6766899ca4dc57074f3854f1 
15:09:51.951 [http-nio-8080-exec-5] INFO  c.c.C.service.PostService - Fetching posts for university ID: 6766899ca4dc57074f3854f1 
15:09:52.024 [http-nio-8080-exec-8] INFO  c.c.C.service.PostService - Fetching posts for university ID: 6766899ca4dc57074f3854f1 
15:10:06.158 [http-nio-8080-exec-10] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' is not supported] 
15:10:06.174 [http-nio-8080-exec-6] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' is not supported] 
15:10:07.966 [http-nio-8080-exec-2] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' is not supported] 
15:10:07.972 [http-nio-8080-exec-3] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' is not supported] 
15:10:23.158 [http-nio-8080-exec-1] INFO  c.c.C.service.UniversityService - Fetching all students for university ID: 6766899ca4dc57074f3854f1 
15:10:26.806 [http-nio-8080-exec-9] INFO  c.c.C.service.UniversityService - Fetching all students for university ID: 6766899ca4dc57074f3854f1 
15:10:26.807 [http-nio-8080-exec-4] INFO  c.c.C.service.UniversityService - Fetching all students for university ID: 6766899ca4dc57074f3854f1 
15:10:51.158 [http-nio-8080-exec-7] INFO  c.c.C.service.UniversityService - Fetching all students for university ID: 6766899ca4dc57074f3854f1 
15:10:53.024 [http-nio-8080-exec-8] INFO  c.c.C.service.UniversityService - Fetching all students for university ID: 6766899ca4dc57074f3854f1 
15:10:54.302 [http-nio-8080-exec-6] INFO  c.c.C.service.UniversityService - Fetching all students for university ID: 6766899ca4dc57074f3854f1 
15:10:54.302 [http-nio-8080-exec-10] INFO  c.c.C.service.UniversityService - Fetching all students for university ID: 6766899ca4dc57074f3854f1 
15:11:07.156 [http-nio-8080-exec-2] INFO  c.c.C.service.UniversityService - Fetching all students for university ID: 6766899ca4dc57074f3854f1 
15:11:11.020 [http-nio-8080-exec-3] INFO  c.c.C.service.UniversityService - Fetching all students for university ID: 6766899ca4dc57074f3854f1 
